reasoning_score,fit_score,trust_score,critical_gaps,moderate_gaps,nd_strengths,recommendation_score,hired
95,92,94,0,0,3,3,1
93,89,91,0,1,2,3,1
90,88,90,0,1,2,3,1
88,84,86,0,1,2,2,1
86,82,84,1,1,2,2,1
84,80,82,1,2,1,2,1
82,78,80,1,2,1,2,1
80,76,78,1,2,1,2,1
78,74,76,1,2,1,2,1
76,72,74,1,3,1,1,1
74,70,72,2,2,1,1,1
72,68,70,2,2,1,1,1
70,66,68,2,3,1,1,1
68,64,66,2,3,1,1,1
66,62,64,2,3,0,1,1
64,60,62,2,3,0,1,1
62,58,60,2,4,0,1,0
60,56,58,3,3,0,1,0
58,54,56,3,3,0,1,0
56,52,54,3,4,0,0,0
54,50,52,3,4,0,0,0
52,48,50,3,4,0,0,0
50,46,48,3,5,0,0,0
48,44,46,4,4,0,0,0
46,42,44,4,4,0,0,0
44,40,42,4,5,0,0,0
42,38,40,4,5,0,0,0
40,36,38,5,5,0,0,0
38,34,36,5,5,0,0,0
36,32,34,5,5,0,0,0
92,90,88,0,1,3,3,1
89,85,87,1,1,2,2,1
87,83,85,1,1,2,2,1
83,79,81,1,2,1,2,1
79,75,77,1,2,1,2,1
75,71,73,2,2,1,1,1
71,67,69,2,3,1,1,1
67,63,65,2,3,0,1,1
63,59,61,2,4,0,1,0
59,55,57,3,3,0,1,0
55,51,53,3,4,0,0,0
51,47,49,3,4,0,0,0
47,43,45,4,4,0,0,0
43,39,41,4,5,0,0,0
39,35,37,5,5,0,0,0
91,87,89,0,1,3,3,1
85,81,83,1,1,2,2,1
77,73,75,1,2,1,2,1
69,65,67,2,3,1,1,1
61,57,59,2,4,0,1,0
53,49,51,3,4,0,0,0
45,41,43,4,4,0,0,0
37,33,35,5,5,0,0,0
96,94,95,0,0,3,3,1
94,90,92,0,1,3,3,1
90,86,88,1,1,2,2,1
86,82,84,1,2,2,2,1
82,78,80,1,2,1,2,1
78,74,76,2,2,1,1,1
74,70,72,2,3,1,1,1
70,66,68,2,3,1,1,1
66,62,64,3,3,0,1,0
62,58,60,3,4,0,1,0
58,54,56,3,4,0,0,0
54,50,52,4,4,0,0,0
50,46,48,4,5,0,0,0
46,42,44,5,5,0,0,0
